"range_0","range_1","range_2","range_3","range_4","range_5","range_6","range_7","range_8","range_9","range_10","range_11","range_12","range_13","range_14","range_15","range_16","range_17","range_18","range_19","range_20","range_21","range_22","range_23","range_24","range_25","range_26","range_27","range_28","range_29","range_30","range_31","range_32","range_33","range_34","range_35","range_36","range_37","range_38","range_39","range_40","range_41","range_42","range_43","range_44","range_45","range_46","range_47","range_48","range_49","range_50","range_51","range_52","range_53","range_54","range_55","range_56","range_57","range_58","range_59","range_60","range_61","range_62"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.4876916706562042","0.4876629710197449","0.48769962787628174","0.49041199684143066","0.5571255087852478","0.5498545169830322","0.5476022362709045","0.5466929078102112","0.5471687316894531","0.549102246761322","0.5529059171676636","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.48768851161003113","0.48765671253204346","0.48769333958625793","0.49040400981903076","0.5571912527084351","0.5499686002731323","0.5477192401885986","0.5467740297317505","0.5472182035446167","0.5491461753845215","0.5528715252876282","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.4876916706562042","0.4876613914966583","0.4876980781555176","0.49044063687324524","0.5572364330291748","0.54996657371521","0.5477213263511658","0.546789824962616","0.5473827123641968","0.5492060780525208","0.5530434250831604","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.4863037168979645","0.48296794295310974","0.4822987914085388","0.4820961058139801","0.4819145202636719","0.48173391819000244","0.48158514499664307","0.4813913404941559","0.48131364583969116","0.48125070333480835","0.4812147915363312","0.48127487301826477","0.48261135816574097","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.4812358319759369","0.4792267978191376","0.4787597060203552","0.47845497727394104","0.4781939387321472","0.47792211174964905","0.47769391536712646","0.4774111211299896","0.4772382974624634","0.4770636260509491","0.47692784667015076","0.4766940474510193","0.47764790058135986","0.48124781250953674","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.480698823928833","0.47777259349823","0.4763416647911072","0.4759365916252136","0.4755302667617798","0.4752197265625","0.47489577531814575","0.47461965680122375","0.47433149814605713","0.47410741448402405","0.4738727807998657","0.47368115186691284","0.47350871562957764","0.47407838702201843","0.47602972388267517","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.4771914482116699","0.475029319524765","0.47379371523857117","0.4734191596508026","0.4730093479156494","0.47265303134918213","0.4723235070705414","0.47204726934432983","0.4717136025428772","0.471433162689209","0.4711322784423828","0.47088000178337097","0.4707568287849426","0.4713746905326843","0.4729918837547302","0.4770401418209076","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","0.48065704107284546","0.4747324585914612","0.4726908802986145","0.47169482707977295","0.4712674021720886","0.47085803747177124","0.4705149531364441","0.4701531231403351","0.46983689069747925","0.4694713056087494","0.4691629707813263","0.4688301682472229","0.46861979365348816","0.468566358089447","0.46909868717193604","0.47064945101737976","0.47369617223739624","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","0.47679945826530457","0.47236359119415283","0.47061392664909363","0.4696028530597687","0.46919187903404236","0.46875521540641785","0.4683772623538971","0.4679735600948334","0.4676370322704315","0.4672950208187103","0.4670068919658661","0.46669745445251465","0.46644163131713867","0.46636155247688293","0.466823011636734","0.46845632791519165","0.471223920583725","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","0.474606990814209","0.4705445468425751","0.4690288305282593","0.4680735170841217","0.46764031052589417","0.4671803414821625","0.46679314970970154","0.46639925241470337","0.46605193614959717","0.46566206216812134","0.4653300642967224","0.4649713635444641","0.46468332409858704","0.46464696526527405","0.46524977684020996","0.4666750133037567","0.469424843788147","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
