"range_0","range_1","range_2","range_3","range_4","range_5","range_6","range_7","range_8","range_9","range_10","range_11","range_12","range_13","range_14","range_15","range_16","range_17","range_18","range_19","range_20","range_21","range_22","range_23","range_24","range_25","range_26","range_27","range_28","range_29","range_30","range_31","range_32","range_33","range_34","range_35","range_36","range_37","range_38","range_39","range_40","range_41","range_42","range_43","range_44","range_45","range_46","range_47","range_48","range_49","range_50","range_51","range_52","range_53","range_54","range_55","range_56","range_57","range_58","range_59","range_60","range_61","range_62"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5570474863052368","0.5497545003890991","0.5475188493728638","0.546588122844696","0.5471885204315186","0.5490125417709351","0.5528493523597717","0.6228979229927063","0.6294530630111694","0.6524707078933716","0.881715714931488","0.882874071598053","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5572179555892944","0.5499745607376099","0.5477808713912964","0.5468037128448486","0.5473331809043884","0.549156129360199","0.5529706478118896","0.6248026490211487","0.6312976479530334","0.6533753275871277","0.8773548603057861","0.8786561489105225","0.8797502517700195","0.8809736967086792","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5569427609443665","0.5497685074806213","0.547522783279419","0.5466059446334839","0.5470459461212158","0.5489746332168579","0.5528028011322021","0.6260676980018616","0.6325042247772217","0.6540109515190125","0.8754108548164368","0.8749536275863647","0.8755889534950256","0.876807451248169","0.8783892393112183","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5573433041572571","0.5500006079673767","0.5477530360221863","0.5468531250953674","0.5473470687866211","0.5492718815803528","0.5530959963798523","0.6282059550285339","0.6345477104187012","0.6550332903862","0.8736821413040161","0.8732272386550903","0.8728834390640259","0.8724895119667053","0.8739767670631409","0.8764293193817139","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5569099187850952","0.5497105121612549","0.5474691987037659","0.5465801358222961","0.5470815896987915","0.5490404367446899","0.5527946949005127","0.6294220089912415","0.6357106566429138","0.655606746673584","0.8717393279075623","0.8712821006774902","0.8709404468536377","0.8705489635467529","0.8700878620147705","0.8724650740623474","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.8758208155632019","0.5572836995124817","0.5500006079673767","0.5477391481399536","0.5468274354934692","0.5473054647445679","0.5492259860038757","0.552998960018158","0.6315646171569824","0.6377587914466858","0.6549935340881348","0.8700100779533386","0.8695551753044128","0.8692106008529663","0.8688163757324219","0.8683279156684875","0.8677213191986084","0.8702651262283325","0.8704748749732971","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.8716179132461548","0.5568627119064331","0.5496425032615662","0.5474137663841248","0.5465604662895203","0.5470420122146606","0.5489128828048706","0.5527603030204773","0.6328043341636658","0.6389362812042236","0.655953586101532","0.8680635690689087","0.8676114082336426","0.8672689199447632","0.866872251033783","0.8663671612739563","0.8657591938972473","0.866264283657074","0.8664770722389221","0.8687090873718262","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.8709482550621033","0.8671117424964905","0.5572713613510132","0.5499866008758545","0.547794759273529","0.5468016862869263","0.5473451018333435","0.5492299795150757","0.5529787540435791","0.6349381804466248","0.6409808397293091","0.657627522945404","0.8663290739059448","0.865879237651825","0.8655338883399963","0.8651344180107117","0.8646074533462524","0.8640027046203613","0.863537073135376","0.8634732365608215","0.8643755316734314","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.8667225241661072","0.8652400374412537","0.5571151971817017","0.549914538860321","0.5476120710372925","0.5466790795326233","0.5472221970558167","0.5491002798080444","0.5529361963272095","0.636515200138092","0.6424812078475952","0.6588619947433472","0.8644631505012512","0.8640109896659851","0.8636726140975952","0.8632462024688721","0.8627222180366516","0.8621161580085754","0.8616533875465393","0.8615898489952087","0.8610374927520752","0.8639861941337585","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.8661645650863647","0.863138735294342","0.8634306788444519","0.5573227405548096","0.5500807166099548","0.5477848052978516","0.5468887686729431","0.5474303364753723","0.5492619276046753","0.55308997631073","0.6384287476539612","0.6443151235580444","0.6603605151176453","0.8626840114593506","0.8622292876243591","0.8618929386138916","0.8614346385002136","0.8609136939048767","0.8603109121322632","0.8598511815071106","0.8597925901412964","0.859192967414856","0.859917163848877","0.8630589246749878","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
