"range_0","range_1","range_2","range_3","range_4","range_5","range_6","range_7","range_8","range_9","range_10","range_11","range_12","range_13","range_14","range_15","range_16","range_17","range_18","range_19","range_20","range_21","range_22","range_23","range_24","range_25","range_26","range_27","range_28","range_29","range_30","range_31","range_32","range_33","range_34","range_35","range_36","range_37","range_38","range_39","range_40","range_41","range_42","range_43","range_44","range_45","range_46","range_47","range_48","range_49","range_50","range_51","range_52","range_53","range_54","range_55","range_56","range_57","range_58","range_59","range_60","range_61","range_62"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5570515394210815","0.5497444868087769","0.5474950671195984","0.5465406775474548","0.5471231341362","0.5490524172782898","0.5528755784034729","0.8365813493728638","0.8400049805641174","0.8438931703567505","0.8474360108375549","0.8514474034309387","0.855103075504303","0.8592455387115479","0.8630219101905823","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5570515394210815","0.5498024821281433","0.5475644469261169","0.5466355681419373","0.5471786260604858","0.5490524172782898","0.5528755784034729","0.8365813493728638","0.8400049805641174","0.8438931703567505","0.8474360108375549","0.8514474034309387","0.855103075504303","0.8592455387115479","0.8630219101905823","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5570515394210815","0.5497444868087769","0.5474950671195984","0.5465406775474548","0.5471231341362","0.5490524172782898","0.5528755784034729","0.8365629315376282","0.8399863243103027","0.8438790440559387","0.8474170565605164","0.8514282703399658","0.8550885915756226","0.8592260479927063","0.8630021810531616","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5570515394210815","0.549796462059021","0.5475644469261169","0.5466355681419373","0.5471251606941223","0.5490503907203674","0.5528857111930847","0.8365767002105713","0.840000331401825","0.8438931703567505","0.8474313616752625","0.8514425754547119","0.855103075504303","0.8592406511306763","0.8630219101905823","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.5572240948677063","0.5498924851417542","0.5477352142333984","0.5468096137046814","0.5473113656044006","0.5490903258323669","0.553005039691925","0.8218796253204346","0.8251193165779114","0.8289380073547363","0.8324154019355774","0.8363549709320068","0.8399431109428406","0.8440065979957581","0.8477132320404053","0.8519043922424316","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.8789462447166443","0.8562439680099487","0.5569940805435181","0.5498024821281433","0.5475685000419617","0.5465781688690186","0.5471231341362","0.5490125417709351","0.5528250336647034","0.8132550716400146","0.8120712637901306","0.8138375878334045","0.8172509074211121","0.8211150169372559","0.8246416449546814","0.8286275267601013","0.8322750329971313","0.8363907337188721","0.8401532173156738","0.8402743339538574","0.844091534614563","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.878484308719635","0.8546889424324036","0.8345322012901306","0.8153934478759766","0.5572364330291748","0.5499585866928101","0.5477252006530762","0.546789824962616","0.5473212599754333","0.5491900444030762","0.5530030131340027","0.8041930794715881","0.8030205965042114","0.8017133474349976","0.8006033897399902","0.8049495816230774","0.8084045648574829","0.8123193383216858","0.8158882856369019","0.8199215531349182","0.8236076831817627","0.8236926198005676","0.8274248242378235","0.8317460417747498","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.859346866607666","0.8378673195838928","0.8101864457130432","0.8087077140808105","0.8070886731147766","0.556877076625824","0.5497024655342102","0.547455370426178","0.5464714765548706","0.5470261573791504","0.5489806532859802","0.5527401566505432","0.7959924936294556","0.7948288321495056","0.793533444404602","0.792435884475708","0.7912034392356873","0.7940084934234619","0.7978576421737671","0.8013700246810913","0.8053356409072876","0.8089632987976074","0.8090711832046509","0.8127519488334656","0.8170068860054016","0.8208205103874207","0.8246949911117554","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","12.0","12.0","0.8564397096633911","0.8294092416763306","0.8135963082313538","0.8033468723297119","0.8007649779319763","0.799302339553833","0.797703206539154","0.557183027267456","0.5499165654182434","0.5476637482643127","0.5468353033065796","0.5472796559333801","0.5492119789123535","0.5529281497001648","0.7867439389228821","0.7855967283248901","0.7843172550201416","0.7832316160202026","0.7820144295692444","0.7809329628944397","0.7831601500511169","0.7867584824562073","0.7908221483230591","0.794539213180542","0.794859766960144","0.7986114621162415","0.8029510974884033","0.806839108467102","0.8107941150665283","0.8148173093795776","0.8247159123420715","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
"12.0","12.0","12.0","12.0","12.0","0.8581815361976624","0.8426976203918457","0.8259915113449097","0.8116790056228638","0.7999681234359741","0.796431303024292","0.7925354838371277","0.7904314398765564","0.7888503670692444","0.5570946931838989","0.549888551235199","0.5476101040840149","0.5466613173484802","0.5472024083137512","0.5490424036979675","0.5529099702835083","0.7780078649520874","0.7768719792366028","0.7756070494651794","0.7740287184715271","0.7747454643249512","0.7754380106925964","0.77620929479599","0.7793819904327393","0.7834094166755676","0.7870892286300659","0.7874119877815247","0.7911272048950195","0.7954283356666565","0.7992784380912781","0.8031992316246033","0.8071832656860352","0.8117797374725342","0.8243188261985779","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0"
