CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Num,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_P,Side_S,Transported
False,39.0,False,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,0.0,False,True,False,False,False,False,False,False,True,False,False
False,24.0,False,109.0,9.0,25.0,549.0,44.0,True,False,False,False,False,True,0.0,False,False,False,False,False,True,False,False,False,True,True
False,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,True,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,True,False
False,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,True,False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,True,False
False,16.0,False,303.0,70.0,151.0,565.0,2.0,True,False,False,False,False,True,1.0,False,False,False,False,False,True,False,False,False,True,True
False,44.0,False,0.0,483.0,0.0,291.0,0.0,True,False,False,False,True,False,0.0,False,False,False,False,False,True,False,False,True,False,True
False,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,False,False,False,False,True,2.0,False,False,False,False,False,True,False,False,False,True,True
True,28.0,False,0.0,0.0,0.0,0.0,,True,False,False,False,False,True,0.0,False,False,False,False,False,False,True,False,False,True,True
False,35.0,False,0.0,785.0,17.0,216.0,0.0,True,False,False,False,False,True,3.0,False,False,False,False,False,True,False,False,False,True,True
True,14.0,False,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,1.0,False,True,False,False,False,False,False,False,True,False,True
True,34.0,False,0.0,0.0,,0.0,0.0,False,True,False,False,False,True,1.0,False,True,False,False,False,False,False,False,True,False,True
False,45.0,False,39.0,7295.0,589.0,110.0,124.0,False,True,False,True,False,False,1.0,False,True,False,False,False,False,False,False,True,False,True
False,32.0,False,73.0,0.0,1123.0,0.0,113.0,False,False,True,False,False,True,1.0,False,False,False,False,False,True,False,False,True,False,True
False,48.0,False,719.0,1.0,65.0,0.0,24.0,True,False,False,False,False,True,1.0,False,False,False,False,False,False,True,False,False,True,False
False,28.0,False,8.0,974.0,12.0,2.0,7.0,True,False,False,False,False,True,2.0,False,False,False,False,False,True,False,False,True,False,True
False,31.0,False,32.0,0.0,876.0,0.0,0.0,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False
False,27.0,False,1286.0,122.0,,0.0,0.0,False,False,True,True,False,False,3.0,False,False,False,False,False,True,False,False,True,False,False
False,24.0,False,0.0,1.0,0.0,0.0,637.0,True,False,False,True,False,False,4.0,False,False,False,False,False,True,False,False,True,False,False
True,45.0,False,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,5.0,False,False,False,False,False,True,False,False,True,False,True
False,0.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,0.0,False,False,False,False,False,False,True,False,True,False,True
False,14.0,False,412.0,0.0,1.0,0.0,679.0,True,False,False,True,False,False,6.0,False,False,False,False,False,True,False,False,True,False,False
True,1.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,0.0,False,False,False,False,True,False,False,False,False,True,False
True,49.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,0.0,False,False,False,False,True,False,False,False,False,True,False
True,29.0,False,0.0,0.0,,0.0,0.0,True,False,False,True,False,False,0.0,False,False,False,False,True,False,False,False,False,True,False
False,10.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,0.0,False,False,False,False,True,False,False,False,False,True,True
True,1.0,False,,0.0,0.0,0.0,0.0,True,False,False,False,True,False,0.0,False,False,False,False,True,False,False,False,False,True,False
False,7.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,0.0,False,False,False,False,True,False,False,False,False,True,False
False,21.0,False,980.0,2.0,69.0,0.0,0.0,False,False,True,False,False,True,0.0,False,False,False,True,False,False,False,False,True,False,False
True,62.0,False,0.0,0.0,,0.0,0.0,False,True,False,False,False,True,2.0,False,False,True,False,False,False,False,False,False,True,True
False,15.0,False,0.0,225.0,0.0,998.0,0.0,True,False,False,False,False,True,6.0,False,False,False,False,False,True,False,False,False,True,False
False,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,True,False,True,False,False,0.0,False,False,True,False,False,False,False,False,True,False,False
False,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,False,True,False,False,True,8.0,False,False,False,False,False,True,False,False,True,False,False
False,32.0,False,0.0,850.0,81.0,437.0,453.0,True,False,False,False,False,True,4.0,False,False,False,False,False,False,True,False,False,True,False
False,47.0,False,214.0,0.0,1411.0,0.0,1229.0,False,False,True,False,False,True,9.0,False,False,False,False,False,True,False,False,True,False,True
False,2.0,False,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,9.0,False,False,False,False,False,True,False,False,True,False,True
False,20.0,False,,0.0,1750.0,990.0,0.0,False,False,True,False,False,True,9.0,False,False,False,False,False,True,False,False,True,False,True
True,28.0,False,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,1.0,False,False,False,True,False,False,False,False,False,True,True
False,23.0,False,784.0,964.0,0.0,951.0,0.0,False,False,True,True,False,False,1.0,False,False,False,True,False,False,False,False,True,False,False
False,15.0,,0.0,492.0,48.0,20.0,401.0,True,False,False,True,False,False,8.0,False,False,False,False,False,True,False,False,False,True,False
False,20.0,False,554.0,195.0,0.0,2606.0,0.0,True,False,False,True,False,False,10.0,False,False,False,False,False,True,False,False,False,True,False
True,30.0,False,0.0,0.0,,0.0,0.0,True,False,False,True,False,False,1.0,False,False,False,False,False,False,True,False,True,False,False
True,17.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,2.0,False,False,False,False,False,False,True,False,True,False,True
False,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,True,False,False,False,True,3.0,False,True,False,False,False,False,False,False,True,False,False
True,55.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,3.0,False,False,False,False,False,False,True,False,True,False,False
True,4.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,3.0,False,False,False,False,False,False,True,False,True,False,True
True,21.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,3.0,False,False,False,False,False,False,True,False,True,False,True
False,21.0,False,970.0,0.0,180.0,0.0,64.0,False,False,True,False,False,True,10.0,False,False,False,False,False,True,False,False,True,False,False
True,19.0,False,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,10.0,False,False,False,False,False,True,False,False,True,False,True
False,35.0,False,790.0,0.0,0.0,,0.0,True,False,False,True,False,False,1.0,False,False,False,False,True,False,False,False,False,True,False
False,56.0,False,0.0,112.0,0.0,1379.0,127.0,True,False,False,False,False,True,2.0,False,False,False,False,True,False,False,False,False,True,False
False,,False,4.0,0.0,2.0,4683.0,0.0,True,False,False,False,False,True,6.0,False,False,False,False,False,False,True,False,False,True,False
False,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,False,False,False,False,True,11.0,False,False,False,False,False,True,False,False,False,True,True
False,2.0,False,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,1.0,True,False,False,False,False,False,False,False,False,True,True
True,38.0,False,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,1.0,True,False,False,False,False,False,False,False,False,True,True
False,27.0,False,279.0,605.0,3374.0,286.0,3.0,False,True,False,False,False,True,1.0,True,False,False,False,False,False,False,False,False,True,True
True,36.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,7.0,False,False,False,False,False,False,True,False,False,True,False
False,22.0,False,45.0,1096.0,148.0,1377.0,1.0,True,False,False,False,False,True,12.0,False,False,False,False,False,True,False,False,False,True,False
False,62.0,False,0.0,592.0,0.0,17.0,25.0,True,False,False,False,False,True,13.0,False,False,False,False,False,True,False,False,False,True,False
True,15.0,False,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,14.0,False,False,False,False,False,True,False,False,False,True,True
True,33.0,False,0.0,0.0,,0.0,0.0,False,False,False,False,False,True,3.0,False,False,False,False,True,False,False,False,False,True,True
False,62.0,False,1.0,153.0,197.0,0.0,460.0,True,False,False,False,False,True,6.0,False,False,False,False,False,False,True,False,True,False,False
True,0.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,10.0,False,False,False,False,False,False,True,False,False,True,True
False,18.0,False,1.0,258.0,446.0,0.0,0.0,True,False,False,False,False,True,10.0,False,False,False,False,False,False,True,False,False,True,True
False,21.0,False,1946.0,37.0,0.0,0.0,24.0,True,False,False,True,False,False,15.0,False,False,False,False,False,True,False,False,False,True,False
False,,False,793.0,0.0,2.0,253.0,0.0,False,False,True,False,False,True,4.0,False,False,False,False,True,False,False,False,False,True,False
False,42.0,False,887.0,0.0,9.0,6.0,0.0,True,False,False,False,False,True,16.0,False,False,False,False,False,True,False,False,False,True,True
False,19.0,False,190.0,0.0,5.0,1.0,726.0,True,False,False,False,False,True,13.0,False,False,False,False,False,True,False,False,True,False,False
False,17.0,False,16.0,2165.0,0.0,0.0,52.0,True,False,False,False,False,True,14.0,False,False,False,False,False,True,False,False,True,False,False
False,14.0,False,0.0,1.0,0.0,0.0,1063.0,True,False,False,False,False,True,17.0,False,False,False,False,False,True,False,False,False,True,False
False,37.0,False,46.0,83.0,738.0,0.0,12.0,False,False,True,False,True,False,3.0,False,False,False,True,False,False,False,False,True,False,False
False,42.0,False,1.0,8397.0,0.0,0.0,506.0,False,True,False,False,False,True,3.0,False,False,True,False,False,False,False,False,False,True,True
False,27.0,False,147.0,0.0,1018.0,0.0,0.0,False,False,True,False,False,True,18.0,False,False,False,False,False,True,False,False,False,True,True
False,28.0,False,14.0,0.0,1295.0,0.0,0.0,False,False,True,False,False,True,15.0,False,False,False,False,False,True,False,False,True,False,True
False,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,True,False,False,False,True,4.0,False,False,True,False,False,False,False,False,False,True,False
True,13.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,13.0,False,False,False,False,False,False,True,False,False,True,False
False,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,16.0,False,False,False,False,False,True,False,False,True,False,False
True,2.0,False,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,16.0,False,False,False,False,False,True,False,False,True,False,True
False,8.0,False,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,True,16.0,False,False,False,False,False,True,False,False,True,False,True
False,24.0,False,688.0,0.0,0.0,0.0,17.0,True,False,False,False,False,True,14.0,False,False,False,False,False,False,True,False,False,True,True
True,40.0,False,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,5.0,False,False,True,False,False,False,False,False,False,True,True
